0: [01:27:03 562] [update]     loading apis..                                                      
1: [01:27:03 565] [info]       loaded api: fuzzy_find                                              
2: [01:27:03 566] [info]       loaded api: log                                                     
3: [01:27:03 567] [info]       loaded api: pixelbox                                                
4: [01:27:03 568] [info]       loaded api: sevensh                                                 
5: [01:27:03 568] [info]       loaded api: termtools                                               
6: [01:27:03 569] [info]       loaded api: text                                                    
7: [01:27:03 569] [info]                                                                           
8: [01:27:03 569] [update]     loading presets..                                                   
9: [01:27:03 569] [info]       loaded preset: rect > border                                        
10: [01:27:03 570] [info]      loaded preset: rect > frame                                         
11: [01:27:03 570] [info]      loaded preset: rect > frame_thick                                   
12: [01:27:03 570] [info]      loaded preset: rect > framed_window                                 
13: [01:27:03 571] [info]      loaded preset: rect > window                                        
14: [01:27:03 571] [info]      loaded preset: tex > brick                                          
15: [01:27:03 572] [info]      loaded preset: tex > checker                                        
16: [01:27:03 572] [info]                                                                          
17: [01:27:03 572] [success]   finished loading                                                    
18: [01:27:03 572] [info]                                                                          
19: [01:27:03 580] [update]    creating gui object..                                               
20: [01:27:03 580] [update]    set up updater                                                      
21: [01:27:03 580] [info]      Display object: monitor                                             
22: [01:27:03 580] [info]                                                                          
23: [01:27:03 580] [info]      Starting creator..                                                  
24: [01:27:03 581] [info]      Found animation ease_in                                             
25: [01:27:03 581] [info]      Found animation ease_in_back                                        
26: [01:27:03 581] [info]      Found animation ease_in_cubic                                       
27: [01:27:03 581] [info]      Found animation ease_in_elastic                                     
28: [01:27:03 581] [info]      Found animation ease_in_expo                                        
29: [01:27:03 581] [info]      Found animation ease_in_out                                         
30: [01:27:03 581] [info]      Found animation ease_in_out_back                                    
31: [01:27:03 581] [info]      Found animation ease_in_out_cubic                                   
32: [01:27:03 581] [info]      Found animation ease_in_out_elastic                                 
33: [01:27:03 581] [info]      Found animation ease_in_out_expo                                    
34: [01:27:03 583] [info]      Found animation ease_in_out_quad                                    
35: [01:27:03 583] [info]      Found animation ease_in_out_quart                                   
36: [01:27:03 584] [info]      Found animation ease_in_out_quint                                   
37: [01:27:03 584] [info]      Found animation ease_in_out_sine                                    
38: [01:27:03 584] [info]      Found animation ease_in_quad                                        
39: [01:27:03 584] [info]      Found animation ease_in_quart                                       
40: [01:27:03 584] [info]      Found animation ease_in_quint                                       
41: [01:27:03 584] [info]      Found animation ease_in_sine                                        
42: [01:27:03 584] [info]      Found animation ease_out                                            
43: [01:27:03 584] [info]      Found animation ease_out_back                                       
44: [01:27:03 584] [info]      Found animation ease_out_cubic                                      
45: [01:27:03 584] [info]      Found animation ease_out_elastic                                    
46: [01:27:03 584] [info]      Found animation ease_out_expo                                       
47: [01:27:03 584] [info]      Found animation ease_out_quad                                       
48: [01:27:03 584] [info]      Found animation ease_out_quart                                      
49: [01:27:03 584] [info]      Found animation ease_out_quint                                      
50: [01:27:03 584] [info]      Found animation ease_out_sine                                       
51: [01:27:03 584] [info]      Found animation flip                                                
52: [01:27:03 584] [info]      Found animation linear                                              
53: [01:27:03 584] [info]                                                                          
54: [01:27:03 585] [update]    loading object: button                                              
55: [01:27:03 621] [update]    loading object: circle                                              
56: [01:27:03 622] [update]    loading object: ellipse                                             
57: [01:27:03 624] [update]    loading object: frame                                               
58: [01:27:03 627] [update]    loading object: group                                               
59: [01:27:03 632] [update]    loading object: inputbox                                            
60: [01:27:03 635] [update]    loading object: progressbar                                         
61: [01:27:03 637] [update]    loading object: rectangle                                           
62: [01:27:03 639] [update]    loading object: script                                              
63: [01:27:03 641] [update]    loading object: scrollbox                                           
64: [01:27:03 642] [update]    loading object: switch                                              
65: [01:27:03 644] [update]    loading object: text                                                
66: [01:27:03 646] [update]    loading object: triangle                                            
67: [01:27:03 647] [info]                                                                          
68: [01:27:03 647] [update]    loading text object...                                              
69: [01:27:03 647] [info]                                                                          
70: [01:27:03 647] [success]   finished creating gui object!                                       
71: [01:27:03 647] [info]                                                                          
72: [01:27:03 649] [info]      created new text > 4ca1fb25-886e-40af-b9bf-892aed8b6c58             
73: [01:27:03 651] [info]      created new button > 64b46f5e-84a6-4647-9e75-bf06015e1d10           
74: [01:27:03 652] [info]      created new text > f29b27b6-7f04-4fc8-b3ae-c06b3be2594d             
75: [01:27:03 721] [info]      created new text > 70ece694-118e-4683-8022-c4e328935098             
76: [01:27:03 722] [info]      created new button > 2a88a6ee-e224-4c7f-90ac-debe6eefe7f3           
77: [01:27:03 724] [info]      created new button > 796dbc15-ffed-413b-b447-4e9e6a81489f           
78: [01:27:03 727] [update]    creating gui object..                                               
79: [01:27:03 727] [update]    set up updater                                                      
80: [01:27:03 727] [info]      Display object: monitor                                             
81: [01:27:03 727] [info]                                                                          
82: [01:27:03 727] [info]      Starting creator..                                                  
83: [01:27:03 728] [info]      Found animation ease_in                                             
84: [01:27:03 728] [info]      Found animation ease_in_back                                        
85: [01:27:03 728] [info]      Found animation ease_in_cubic                                       
86: [01:27:03 728] [info]      Found animation ease_in_elastic                                     
87: [01:27:03 728] [info]      Found animation ease_in_expo                                        
88: [01:27:03 728] [info]      Found animation ease_in_out                                         
89: [01:27:03 728] [info]      Found animation ease_in_out_back                                    
90: [01:27:03 728] [info]      Found animation ease_in_out_cubic                                   
91: [01:27:03 728] [info]      Found animation ease_in_out_elastic                                 
92: [01:27:03 728] [info]      Found animation ease_in_out_expo                                    
93: [01:27:03 728] [info]      Found animation ease_in_out_quad                                    
94: [01:27:03 728] [info]      Found animation ease_in_out_quart                                   
95: [01:27:03 728] [info]      Found animation ease_in_out_quint                                   
96: [01:27:03 728] [info]      Found animation ease_in_out_sine                                    
97: [01:27:03 728] [info]      Found animation ease_in_quad                                        
98: [01:27:03 728] [info]      Found animation ease_in_quart                                       
99: [01:27:03 728] [info]      Found animation ease_in_quint                                       
100: [01:27:03 728] [info]     Found animation ease_in_sine                                        
101: [01:27:03 728] [info]     Found animation ease_out                                            
102: [01:27:03 728] [info]     Found animation ease_out_back                                       
103: [01:27:03 728] [info]     Found animation ease_out_cubic                                      
104: [01:27:03 728] [info]     Found animation ease_out_elastic                                    
105: [01:27:03 728] [info]     Found animation ease_out_expo                                       
106: [01:27:03 728] [info]     Found animation ease_out_quad                                       
107: [01:27:03 728] [info]     Found animation ease_out_quart                                      
108: [01:27:03 728] [info]     Found animation ease_out_quint                                      
109: [01:27:03 728] [info]     Found animation ease_out_sine                                       
110: [01:27:03 729] [info]     Found animation flip                                                
111: [01:27:03 729] [info]     Found animation linear                                              
112: [01:27:03 729] [info]                                                                         
113: [01:27:03 729] [update]   loading object: button                                              
114: [01:27:03 729] [update]   loading object: circle                                              
115: [01:27:03 729] [update]   loading object: ellipse                                             
116: [01:27:03 730] [update]   loading object: frame                                               
117: [01:27:03 730] [update]   loading object: group                                               
118: [01:27:03 730] [update]   loading object: inputbox                                            
119: [01:27:03 731] [update]   loading object: progressbar                                         
120: [01:27:03 731] [update]   loading object: rectangle                                           
121: [01:27:03 732] [update]   loading object: script                                              
122: [01:27:03 732] [update]   loading object: scrollbox                                           
123: [01:27:03 733] [update]   loading object: switch                                              
124: [01:27:03 733] [update]   loading object: text                                                
125: [01:27:03 733] [update]   loading object: triangle                                            
126: [01:27:03 734] [info]                                                                         
127: [01:27:03 734] [update]   loading text object...                                              
128: [01:27:03 734] [info]                                                                         
129: [01:27:03 734] [success]  finished creating gui object!                                       
130: [01:27:03 734] [info]                                                                         
131: [01:27:03 735] [info]     created new progressbar > 0bdf579d-9a5d-4bb2-8ef6-8a17171c6181      
132: [01:27:03 737] [info]     created new text > 9f3e9da0-1d0a-493b-9203-0fbab4240da4             
133: [01:27:03 739] [info]     created new text > 09cfa048-8645-4c17-bc18-c804f9d062b2             
134: [01:27:03 743] [update]   creating gui object..                                               
135: [01:27:03 743] [update]   set up updater                                                      
136: [01:27:03 743] [info]     Display object: monitor                                             
137: [01:27:03 743] [info]                                                                         
138: [01:27:03 744] [info]     Starting creator..                                                  
139: [01:27:03 744] [info]     Found animation ease_in                                             
140: [01:27:03 744] [info]     Found animation ease_in_back                                        
141: [01:27:03 744] [info]     Found animation ease_in_cubic                                       
142: [01:27:03 744] [info]     Found animation ease_in_elastic                                     
143: [01:27:03 744] [info]     Found animation ease_in_expo                                        
144: [01:27:03 744] [info]     Found animation ease_in_out                                         
145: [01:27:03 744] [info]     Found animation ease_in_out_back                                    
146: [01:27:03 744] [info]     Found animation ease_in_out_cubic                                   
147: [01:27:03 744] [info]     Found animation ease_in_out_elastic                                 
148: [01:27:03 744] [info]     Found animation ease_in_out_expo                                    
149: [01:27:03 744] [info]     Found animation ease_in_out_quad                                    
150: [01:27:03 744] [info]     Found animation ease_in_out_quart                                   
151: [01:27:03 744] [info]     Found animation ease_in_out_quint                                   
152: [01:27:03 744] [info]     Found animation ease_in_out_sine                                    
153: [01:27:03 744] [info]     Found animation ease_in_quad                                        
154: [01:27:03 744] [info]     Found animation ease_in_quart                                       
155: [01:27:03 744] [info]     Found animation ease_in_quint                                       
156: [01:27:03 744] [info]     Found animation ease_in_sine                                        
157: [01:27:03 744] [info]     Found animation ease_out                                            
158: [01:27:03 744] [info]     Found animation ease_out_back                                       
159: [01:27:03 744] [info]     Found animation ease_out_cubic                                      
160: [01:27:03 744] [info]     Found animation ease_out_elastic                                    
161: [01:27:03 744] [info]     Found animation ease_out_expo                                       
162: [01:27:03 744] [info]     Found animation ease_out_quad                                       
163: [01:27:03 744] [info]     Found animation ease_out_quart                                      
164: [01:27:03 745] [info]     Found animation ease_out_quint                                      
165: [01:27:03 745] [info]     Found animation ease_out_sine                                       
166: [01:27:03 745] [info]     Found animation flip                                                
167: [01:27:03 745] [info]     Found animation linear                                              
168: [01:27:03 746] [info]                                                                         
169: [01:27:03 746] [update]   loading object: button                                              
170: [01:27:03 746] [update]   loading object: circle                                              
171: [01:27:03 746] [update]   loading object: ellipse                                             
172: [01:27:03 747] [update]   loading object: frame                                               
173: [01:27:03 747] [update]   loading object: group                                               
174: [01:27:03 747] [update]   loading object: inputbox                                            
175: [01:27:03 748] [update]   loading object: progressbar                                         
176: [01:27:03 748] [update]   loading object: rectangle                                           
177: [01:27:03 748] [update]   loading object: script                                              
178: [01:27:03 749] [update]   loading object: scrollbox                                           
179: [01:27:03 749] [update]   loading object: switch                                              
180: [01:27:03 749] [update]   loading object: text                                                
181: [01:27:03 749] [update]   loading object: triangle                                            
182: [01:27:03 750] [info]                                                                         
183: [01:27:03 750] [update]   loading text object...                                              
184: [01:27:03 750] [info]                                                                         
185: [01:27:03 750] [success]  finished creating gui object!                                       
186: [01:27:03 750] [info]                                                                         
187: [01:27:03 752] [info]     created new progressbar > 608c0210-e1ec-4755-b159-05ab9d305ac8      
